Size,Environment,Kind,Result,Time
137,Johnson,loop,cycle found,0.00327
138,Johnson,no loop,no cycle,0.0017
139,Johnson,loop,cycle found,0.00367
140,Johnson,no loop,no cycle,0.00188
141,Johnson,loop,cycle found,0.00344
142,Johnson,no loop,no cycle,0.00181
143,Johnson,loop,cycle found,0.00353
144,Johnson,no loop,no cycle,0.00184
145,Johnson,loop,cycle found,0.00356
146,Johnson,no loop,no cycle,0.00183
147,Johnson,loop,cycle found,0.00364
148,Johnson,no loop,no cycle,0.00184
149,Johnson,loop,cycle found,0.00351
150,Johnson,no loop,no cycle,0.00181
151,Johnson,loop,cycle found,0.00361
152,Johnson,no loop,no cycle,0.00186
153,Johnson,loop,cycle found,0.00463
154,Johnson,no loop,no cycle,0.0034
155,Johnson,loop,cycle found,0.00476
156,Johnson,no loop,no cycle,0.00204
157,Johnson,loop,cycle found,0.00391
158,Johnson,no loop,no cycle,0.00192
159,Johnson,loop,cycle found,0.00401
160,Johnson,no loop,no cycle,0.00193
161,Johnson,loop,cycle found,0.00382
162,Johnson,no loop,no cycle,0.00211
163,Johnson,loop,cycle found,0.00399
164,Johnson,no loop,no cycle,0.00196
165,Johnson,loop,cycle found,0.00397
166,Johnson,no loop,no cycle,0.00194
167,Johnson,loop,cycle found,0.0063
168,Johnson,no loop,no cycle,0.00286
169,Johnson,loop,cycle found,0.00465
170,Johnson,no loop,no cycle,0.00211
171,Johnson,loop,cycle found,0.00554
172,Johnson,no loop,no cycle,0.00232
173,Johnson,loop,cycle found,0.00486
174,Johnson,no loop,no cycle,0.00219
175,Johnson,loop,cycle found,0.00478
176,Johnson,no loop,no cycle,0.00212
177,Johnson,loop,cycle found,0.00466
178,Johnson,no loop,no cycle,0.00238
179,Johnson,loop,cycle found,0.00469
180,Johnson,no loop,no cycle,0.0022
181,Johnson,loop,cycle found,0.00449
182,Johnson,no loop,no cycle,0.00239
183,Johnson,loop,cycle found,0.00464
184,Johnson,no loop,no cycle,0.00218
185,Johnson,loop,cycle found,0.0047
186,Johnson,no loop,no cycle,0.00225
187,Johnson,loop,cycle found,0.00499
188,Johnson,no loop,no cycle,0.00233
189,Johnson,loop,cycle found,0.0047
190,Johnson,no loop,no cycle,0.00224
191,Johnson,loop,cycle found,0.00565
192,Johnson,no loop,no cycle,0.0023
193,Johnson,loop,cycle found,0.00496
194,Johnson,no loop,no cycle,0.00231
195,Johnson,loop,cycle found,0.00555
196,Johnson,no loop,no cycle,0.00352
197,Johnson,loop,cycle found,0.00796
198,Johnson,no loop,no cycle,0.00226
199,Johnson,loop,cycle found,0.00624
200,Johnson,no loop,no cycle,0.00427
201,Johnson,loop,cycle found,0.0056
202,Johnson,no loop,no cycle,0.00232
